0	-65
3.43226e-05	-65
0.34326	-65
1	-65
1	-65
1.00007	-64.9854
1.00014	-64.9709
1.00034	-64.9312
1.00053	-64.8915
1.00073	-64.8519
1.00092	-64.8123
1.00132	-64.732
1.00206	-64.5828
1.00394	-64.2059
1.00582	-63.8339
1.00771	-63.4666
1.00959	-63.1041
1.01148	-62.7463
1.01354	-62.3594
1.01561	-61.978
1.01767	-61.6022
1.0212	-60.9737
1.02472	-60.3608
1.02824	-59.7633
1.03176	-59.181
1.03767	-58.2386
1.04357	-57.3367
1.04947	-56.4741
1.05537	-55.6498
1.06128	-54.8627
1.06718	-54.1115
1.07308	-53.3953
1.07898	-52.7131
1.08489	-52.0638
1.09452	-51.0729
1.10114	-50.439
1.10776	-49.8425
1.11438	-49.2821
1.121	-48.7569
1.12762	-48.2659
1.14053	-47.4031
1.15344	-46.6603
1.16635	-46.032
1.17926	-45.5136
1.19217	-45.101
1.20508	-44.7912
1.21799	-44.5816
1.2309	-44.4705
1.24381	-44.4566
1.25672	-44.5394
1.26963	-44.7192
1.28254	-44.9966
1.29545	-45.3731
1.30836	-45.8506
1.32127	-46.4319
1.33418	-47.1203
1.34709	-47.9196
1.37001	-49.6269
1.39294	-51.7299
1.41586	-54.2655
1.43077	-56.1674
1.44568	-58.2832
1.46059	-60.6265
1.4755	-63.2105
1.48642	-65.2622
1.49733	-67.4544
1.50825	-69.791
1.51916	-72.275
1.53008	-74.9078
1.54099	-77.6894
1.55191	-80.617
1.56282	-83.6851
1.57373	-86.8846
1.58465	-90.2017
1.59556	-93.6175
1.60648	-97.107
1.61739	-100.638
1.62831	-104.173
1.6359	-106.609
1.6435	-109.006
1.65109	-111.345
1.65868	-113.604
1.66628	-115.761
1.67387	-117.794
1.68147	-119.678
1.68906	-121.389
1.69665	-122.906
1.70425	-124.206
1.71184	-125.269
1.71944	-126.079
1.72703	-126.621
1.73462	-126.885
1.74222	-126.866
1.74981	-126.561
1.75741	-125.973
1.765	-125.11
1.77259	-123.983
1.78019	-122.607
1.78778	-121.002
1.79537	-119.187
1.80297	-117.188
1.81056	-115.027
1.81816	-112.73
1.82575	-110.322
1.83334	-107.828
1.84094	-105.271
1.84853	-102.672
1.85613	-100.052
1.86372	-97.429
1.87131	-94.8196
1.87891	-92.2378
1.8865	-89.696
1.8941	-87.2044
1.90169	-84.7717
1.90928	-82.4048
1.91688	-80.1091
1.92447	-77.8888
1.93206	-75.7467
1.94597	-72.0328
1.95597	-69.5309
1.96597	-67.1697
1.97597	-64.9471
1.98597	-62.8598
1.99597	-60.9038
2.00597	-59.0743
2.01597	-57.3665
2.02598	-55.7752
2.03598	-54.2953
2.04598	-52.9215
2.05598	-51.649
2.06598	-50.4728
2.07598	-49.3885
2.08598	-48.3916
2.09598	-47.4782
2.10598	-46.6443
2.11598	-45.8866
2.12598	-45.2017
2.13598	-44.5869
2.15101	-43.7886
2.16604	-43.1344
2.18107	-42.618
2.1961	-42.2338
2.21113	-41.978
2.22616	-41.8475
2.24119	-41.8406
2.25622	-41.9566
2.27125	-42.196
2.28628	-42.5603
2.30132	-43.052
2.31635	-43.675
2.33138	-44.4339
2.34641	-45.3347
2.36144	-46.3845
